"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
study_id,demographics,,text,"Study ID",,,,,,,,,,,,,
date_enrolled,demographics,"Consent Information",text,"Date subject signed consent",,YYYY-MM-DD,date_ymd,,,,,,,,,,
patient_document,demographics,,file,"Upload the patient's consent form",,,,,,,,,,,,,
family_name,demographics,"Contact Information",text,"Family Name",,,,,,y,,,,,,,
given_name,demographics,,text,"Given Name",,,,,,y,,,,,,,
street_address,demographics,,text,"Street Address",,,,,,,,,,,,,
city_prefecture,demographics,,notes,"City, Prefecture",,,,,,y,,,,,,,
postal_code,demographics,,text,"Postal Code",,"Format: xxx-xxxx",,,,,,,,,,,
phone,demographics,,text,"Phone number",,,,,,y,,,,,,,
email,demographics,,text,E-mail,,,email,,,y,,,,,,,
dob,demographics,,text,"Date of birth",,,date_ymd,1900-05-31,2000-05-31,y,,,,,,,
age,demographics,,calc,"Age (years)","rounddown(datediff([dob],'today','y'))",,,,,,,,,,,,
age_warning,demographics,,descriptive,"WARNING: If patient is <18 years old, he or she should not be enrolled in this study.",,,,,,,"[age] < 18",,,,,,
gender,demographics,,radio,Gender,"0, Female | 1, Male",,,,,,,,,,,,
given_birth,demographics,,yesno,"Has the patient given birth before?",,,,,,,"[gender] = ""0""",,,,,,
num_children,demographics,,text,"How many times has the patient given birth?",,,integer,0,,,"[gender] = ""0"" and [given_birth] = ""1""",,,,,,
gym,demographics,"Please provide the patient's weekly schedule for the activities below.",checkbox,"Gym (Weight Training)","0, Monday | 1, Tuesday | 2, Wednesday | 3, Thursday | 4, Friday | 5, Saturday | 6, Sunday",,,,,,,,,,weekly_schedule,,
aerobics,demographics,,checkbox,Aerobics,"0, Monday | 1, Tuesday | 2, Wednesday | 3, Thursday | 4, Friday | 5, Saturday | 6, Sunday",,,,,,,,,,weekly_schedule,,
eat,demographics,,checkbox,"Eat Out (Dinner/Lunch)","0, Monday | 1, Tuesday | 2, Wednesday | 3, Thursday | 4, Friday | 5, Saturday | 6, Sunday",,,,,,,,,,weekly_schedule,,
drink,demographics,,checkbox,"Drink (Alcoholic Beverages)","0, Monday | 1, Tuesday | 2, Wednesday | 3, Thursday | 4, Friday | 5, Saturday | 6, Sunday",,,,,,,,,,weekly_schedule,,
mood,demographics,"Other information",slider,"Specify the patient's mood.","Very sad | Indifferent | Very happy",,,,,,,,RH,,,,
any_statins,demographics,,radio,"Is the patient taking any statins?","0, No | 1, Yes",,,,,,,,,,,,
which_statins,demographics,,checkbox,"Which statin(s) is the patient taking?","1, Atorvastatin | 2, Cerivastatin | 3, Fluvastatin | 4, Lovastatin | 5, Mevastatin | 6, Pitavastatin | 7, Pravastatin | 8, Rosuvastatin | 9, Simvastatin",,,,,,,,,,,,
height,demographics,,text,"Height (cm)",,,number,130,215,,,,,,,,
weight,demographics,,text,"Weight (kilograms)",,,integer,35,200,,,,,,,,
bmi,demographics,,calc,BMI,"round(([weight]*10000)/(([height])^(2)),1)",,,,,,,,,,,,
date_visit_b,baseline_data,"Baseline Measurements",text,"Date of baseline visit",,YYYY-MM-DD,date_ymd,,,,,,,,,,
creat_b,baseline_data,,text,"Creatinine (mg/dL)",,,number,0.5,20,,,,,,,,
hdl_b,baseline_data,,text,"HDL Cholesterol (mg/dL)",,,number,20,100,,,,,,,,
ldl_b,baseline_data,,text,"LDL Cholesterol (mg/dL)",,,number,30,300,,,,,,,,
drywt_b,baseline_data,,text,"Dry weight (kilograms)",,,number,35,200,,,,,,,,
plasma1_b,baseline_data,,dropdown,"Collected Plasma 1?","0, No | 1, Yes",,,,,,,,,,,,
plasma2_b,baseline_data,,dropdown,"Collected Plasma 2?","0, No | 1, Yes",,,,,,,,,,,,
serum1_b,baseline_data,,dropdown,"Collected Serum 1?","0, No | 1, Yes",,,,,,,,,,,,
